code_cluster,mois,pression_station,température,précipitations_24_dernières_heures,Rafale sur les 10 dernières minutes
1,1,99207.86214522668,4.299631404349452,5032.3,5.668669369701438
1,2,99139.03238866397,6.553279352226743,3322.9,5.803562753036437
1,3,98799.78912319645,9.21361450240476,5247.5,5.785312615612283
1,4,98763.87950882579,12.500038372985442,5480.0,5.91615502686109
1,5,98781.10812883436,16.20563650306751,7260.7,5.651878834355828
1,6,98806.03780864198,21.33109567901237,7052.7,5.412345679012345
1,7,98857.34549516009,23.280789277736435,3881.1,5.428704393149665
1,8,98856.96235557212,22.900484532240053,5307.1,5.230860976518822
1,9,98963.25181505541,18.41146350783342,6204.0,4.942911730989683
1,10,98993.84382107657,13.806444275966664,8537.5,5.326042456406369
1,11,98921.86947368422,8.243284210526339,5186.5,5.020378947368421
1,12,99266.41243983709,5.347982228804169,5744.0,5.2262125138837465
2,1,99207.86214522668,4.299631404349452,5032.3,5.668669369701438
2,2,99139.03238866397,6.553279352226743,3322.9,5.803562753036437
2,3,98799.78912319645,9.21361450240476,5247.5,5.785312615612283
2,4,98763.87950882579,12.500038372985442,5480.0,5.91615502686109
2,5,98781.10812883436,16.20563650306751,7260.7,5.651878834355828
2,6,98806.03780864198,21.33109567901237,7052.7,5.412345679012345
2,7,98857.34549516009,23.280789277736435,3881.1,5.428704393149665
2,8,98856.96235557212,22.900484532240053,5307.1,5.230860976518822
2,9,98963.25181505541,18.41146350783342,6204.0,4.942911730989683
2,10,98993.84382107657,13.806444275966664,8537.5,5.326042456406369
2,11,98921.86947368422,8.243284210526339,5186.5,5.020378947368421
2,12,99266.41243983709,5.347982228804169,5744.0,5.2262125138837465
3,1,99207.86214522668,4.299631404349452,5032.3,5.668669369701438
3,2,99139.03238866397,6.553279352226743,3322.9,5.803562753036437
3,3,98799.78912319645,9.21361450240476,5247.5,5.785312615612283
3,4,98763.87950882579,12.500038372985442,5480.0,5.91615502686109
3,5,98781.10812883436,16.20563650306751,7260.7,5.651878834355828
3,6,98806.03780864198,21.33109567901237,7052.7,5.412345679012345
3,7,98857.34549516009,23.280789277736435,3881.1,5.428704393149665
3,8,98856.96235557212,22.900484532240053,5307.1,5.230860976518822
3,9,98963.25181505541,18.41146350783342,6204.0,4.942911730989683
3,10,98993.84382107657,13.806444275966664,8537.5,5.326042456406369
3,11,98921.86947368422,8.243284210526339,5186.5,5.020378947368421
3,12,99266.41243983709,5.347982228804169,5744.0,5.2262125138837465
4,1,99207.86214522668,4.299631404349452,5032.3,5.668669369701438
4,2,99139.03238866397,6.553279352226743,3322.9,5.803562753036437
4,3,98799.78912319645,9.21361450240476,5247.5,5.785312615612283
4,4,98763.87950882579,12.500038372985442,5480.0,5.91615502686109
4,5,98781.10812883436,16.20563650306751,7260.7,5.651878834355828
4,6,98806.03780864198,21.33109567901237,7052.7,5.412345679012345
4,7,98857.34549516009,23.280789277736435,3881.1,5.428704393149665
4,8,98856.96235557212,22.900484532240053,5307.1,5.230860976518822
4,9,98963.25181505541,18.41146350783342,6204.0,4.942911730989683
4,10,98993.84382107657,13.806444275966664,8537.5,5.326042456406369
4,11,98921.86947368422,8.243284210526339,5186.5,5.020378947368421
4,12,99266.41243983709,5.347982228804169,5744.0,5.2262125138837465
5,1,99207.86214522668,4.299631404349452,5032.3,5.668669369701438
5,2,99139.03238866397,6.553279352226743,3322.9,5.803562753036437
5,3,98799.78912319645,9.21361450240476,5247.5,5.785312615612283
5,4,98763.87950882579,12.500038372985442,5480.0,5.91615502686109
5,5,98781.10812883436,16.20563650306751,7260.7,5.651878834355828
5,6,98806.03780864198,21.33109567901237,7052.7,5.412345679012345
5,7,98857.34549516009,23.280789277736435,3881.1,5.428704393149665
5,8,98856.96235557212,22.900484532240053,5307.1,5.230860976518822
5,9,98963.25181505541,18.41146350783342,6204.0,4.942911730989683
5,10,98993.84382107657,13.806444275966664,8537.5,5.326042456406369
5,11,98921.86947368422,8.243284210526339,5186.5,5.020378947368421
5,12,99266.41243983709,5.347982228804169,5744.0,5.2262125138837465
6,1,99207.86214522668,4.299631404349452,5032.3,5.668669369701438
6,2,99139.03238866397,6.553279352226743,3322.9,5.803562753036437
6,3,98799.78912319645,9.21361450240476,5247.5,5.785312615612283
6,4,98763.87950882579,12.500038372985442,5480.0,5.91615502686109
6,5,98781.10812883436,16.20563650306751,7260.7,5.651878834355828
6,6,98806.03780864198,21.33109567901237,7052.7,5.412345679012345
6,7,98857.34549516009,23.280789277736435,3881.1,5.428704393149665
6,8,98856.96235557212,22.900484532240053,5307.1,5.230860976518822
6,9,98963.25181505541,18.41146350783342,6204.0,4.942911730989683
6,10,98993.84382107657,13.806444275966664,8537.5,5.326042456406369
6,11,98921.86947368422,8.243284210526339,5186.5,5.020378947368421
6,12,99266.41243983709,5.347982228804169,5744.0,5.2262125138837465
7,1,99207.86214522668,4.299631404349452,5032.3,5.668669369701438
7,2,99139.03238866397,6.553279352226743,3322.9,5.803562753036437
7,3,98799.78912319645,9.21361450240476,5247.5,5.785312615612283
7,4,98763.87950882579,12.500038372985442,5480.0,5.91615502686109
7,5,98781.10812883436,16.20563650306751,7260.7,5.651878834355828
7,6,98806.03780864198,21.33109567901237,7052.7,5.412345679012345
7,7,98857.34549516009,23.280789277736435,3881.1,5.428704393149665
7,8,98856.96235557212,22.900484532240053,5307.1,5.230860976518822
7,9,98963.25181505541,18.41146350783342,6204.0,4.942911730989683
7,10,98993.84382107657,13.806444275966664,8537.5,5.326042456406369
7,11,98921.86947368422,8.243284210526339,5186.5,5.020378947368421
7,12,99266.41243983709,5.347982228804169,5744.0,5.2262125138837465
8,1,101161.87429854096,4.217508417508441,5558.5,6.892517770295548
8,2,101187.26753670473,5.635522022838523,4509.0,7.536052202283851
8,3,100968.86743408837,7.811399925733405,4761.1,7.051281099145934
8,4,101096.1203239491,10.55800231392212,3235.2,6.328731199382955
8,5,101113.47038853263,14.309769898151664,5162.1,6.227121840814786
8,6,101092.17357310398,18.0495699765442,5669.3,5.948670836591087
8,7,101078.66972477065,19.563799694189626,3394.7,5.949503058103976
8,8,101078.42688048874,19.56231386025203,5188.6,5.6221458571974035
8,9,101138.63295140261,16.182338996444116,4705.5,5.442789411299882
8,10,101037.26601941748,12.485242718446624,6043.7,5.908077669902912
8,11,100864.79914529914,7.959658119658142,5863.7,6.513162393162393
8,12,101122.77841125047,5.883504370961634,5468.8,7.095667046750285
9,1,100738.35018196523,3.9377678932470905,4319.6,5.573271330367975
9,2,100732.33842010771,5.43164272890487,3317.7,5.966741472172352
9,3,100386.49773382777,7.265595385249301,3421.3,5.778903996703749
9,4,100466.45527089458,10.043553128937445,2573.1,4.973162536749265
9,5,100518.08225108225,14.098961038961061,3466.8,4.81051948051948
9,6,100480.6230248307,18.24261851015804,5009.9,4.444695259593679
9,7,100536.3494025546,19.799752781211396,4698.9,4.686979810465595
9,8,100538.75677930747,19.61919065498542,2523.7,4.359240717563622
9,9,100609.58417440452,15.723617278966517,3847.7,4.5
