GEO,TOUR_MEASURE,FREQ,TIME_PERIOD,ACTIVITY,UNIT_LOC_RANKING,L_STAY,OBS_VALUE_NIVEAU
2025-COM-01117,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01130,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01129,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01110,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01094,PLACE,A,2025,I553,_T,_T,54.0
2025-COM-01139,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01108,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01135,PLACE,A,2025,I551,_T,_T,91.0
2025-COM-01141,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01061,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01085,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01050,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01053,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01009,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01044,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01092,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01022,PLACE,A,2025,I553,_T,_T,56.0
2025-COM-01061,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01067,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01028,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01129,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01134,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01077,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01095,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01100,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01015,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01053,PLACE,A,2025,I551,_T,_T,377.0
2025-COM-01124,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01071,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01073,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01103,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01113,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01090,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01089,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01027,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01150,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01008,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01040,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01027,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01133,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01110,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01109,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01054,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01050,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01060,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01117,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01085,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01004,PLACE,A,2025,I551,_T,_T,34.0
2025-COM-01006,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01026,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01010,PLACE,A,2025,I551,_T,_T,15.0
2025-COM-01046,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01040,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01069,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01128,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01081,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01142,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01072,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01112,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01127,PLACE,A,2025,I553,_T,_T,0.0
